問題文,正解画像URL,間違い画像URL1,間違い画像URL2,間違い画像URL3
「かく」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q101_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q101_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q101_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q101_3.png
「ちず」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q102_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q102_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q102_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q102_3.png
「みなみ」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q103_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q103_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q103_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q103_3.png
「いく」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q104_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q104_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q104_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q104_3.png
「いう」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q105_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q105_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q105_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q105_3.png
「こえ」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q106_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q106_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q106_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q106_3.png
「ゆき」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q107_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q107_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q107_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q107_3.png
「よむ」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q108_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q108_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q108_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q108_3.png
「にく」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q201_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q201_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q201_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q201_3.png
「ようび」の かんじは どれ？,https://happy-field-edu.github.io/kanjimon/images/quiz/q202_4.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q202_1.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q202_2.png,https://happy-field-edu.github.io/kanjimon/images/quiz/q202_3.png
